weight
48
44
48
52
58
58
62
52
45
55
54
47
43
53
54
64
47
61
38
48
47
58
46
47
45
40
40
55
62
50
50
46
45
49
53
57
60
55
47
50
53
46
50
45
50
51
48
48
55
54
43
63
53
42
69
69
47
48
50
55
45
49
51
51
44
58
53
46
46
48
43
50
58
49
50
47
47
52
47
50
